flight ID, Destination, Destination_IATA, Continent, Country, Time, Distance, Emissions, TaxCuts
LG5788,Luxembourg,LUX,Europe,LU,2018-04-20T07:35:00Z,1306,231.162,670.7825893
DY805,Oslo,OSL,Europe,NO,2018-04-20T07:10:00Z,417,107.169,310.9814732
2N662,Hemavan Tarnaby,HMV,Europe,SE,2018-04-20T07:05:00Z,725,128.325,372.3716518
EW9217,Dusseldorf,DUS,Europe,DE,2018-04-20T07:40:00Z,1149,203.373,590.1448661
SK1633,Stuttgart,STR,Europe,DE,2018-04-20T07:55:00Z,1308,231.516,671.8098214
SK1419,Copenhagen,CPH,Europe,DK,2018-04-20T07:55:00Z,523,92.571,268.6212054
LX1249,Zurich,ZRH,Europe,CH,2018-04-20T07:50:00Z,1471,260.367,755.5292411
OS312,Vienna,VIE,Europe,AT,2018-04-20T07:45:00Z,1243,220.011,638.4247768
SK939,Los Angeles,LAX,America,US,2018-04-20T07:55:00Z,8893,1574.061,4567.587723
D8224,Riga,RIX,Europe,LV,2018-04-20T08:05:00Z,443,113.851,330.3712054
LH801,Frankfurt,FRA,Europe,DE,2018-04-20T08:10:00Z,1188,210.276,610.1758929
AY804,Helsinki,HEL,Europe,FI,2018-04-20T07:35:00Z,397,102.029,296.0662946
SK403,Copenhagen,CPH,Europe,DK,2018-04-20T07:10:00Z,523,92.571,268.6212054
KL1106,Amsterdam,AMS,Europe,NL,2018-04-20T07:35:00Z,1127,199.479,578.8453125
JU411,Belgrade,BEG,Europe,RS,2018-04-20T08:00:00Z,1624,287.448,834.1125
DY4901,Krakow,KRK,Europe,PL,2018-04-20T08:30:00Z,1039,183.903,533.6470982
D83195,Copenhagen,CPH,Europe,DK,2018-04-20T06:40:00Z,523,92.571,268.6212054
LO454,Warsaw,WAW,Europe,PL,2018-04-20T08:30:00Z,812,143.724,417.05625
D82851,London LGW,LGW,Europe,GB,2018-04-20T08:35:00Z,1465,259.305,752.4475446
SQ361,Singapore,SIN,Asia,SG,2018-04-20T08:25:00Z,9651,1708.227,4956.908705
B2856,Minsk,MSQ,Europe,BY,2018-04-20T08:25:00Z,838,148.326,430.4102679
SK571,Paris CDG,CDG,Europe,FR,2018-04-20T08:40:00Z,1523,269.571,782.2372768
DY4063,Kiruna,KRN,Europe,SE,2018-04-20T08:50:00Z,955,169.035,490.5033482
DY4321,Nice,NCE,Europe,FR,2018-04-20T07:40:00Z,1889,334.353,970.2207589
SK1841,Rome FCO,FCO,Europe,IT,2018-04-20T06:25:00Z,1993,352.761,1023.63683
D86651,Palma,PMI,Europe,ES,2018-04-20T09:05:00Z,2453,434.181,1259.900223
SK849,Oslo,OSL,Europe,NO,2018-04-20T09:05:00Z,417,107.169,310.9814732
HV6524,Eindhoven,EIN,Europe,NL,2018-04-20T08:40:00Z,1182,209.214,607.0941964
SK072,Are Ostersund,OSD,other,NL,2018-04-20T09:10:00Z,0,0,0
A34258,Heraklion,HER,Europe,GR,2018-04-20T09:00:00Z,2721,481.617,1397.54933
SK4222,Vaasa,VAA,Europe,FI,2018-04-20T09:20:00Z,460,118.22,343.0491071
SK531,London LHR,LHR,Europe,GB,2018-04-20T09:15:00Z,1454,257.358,746.7977679
SK2026,Umea,UME,Europe,SE,2018-04-20T09:20:00Z,514,90.978,263.9986607
D85351,Alicante,ALC,Europe,ES,2018-04-20T08:55:00Z,2682,474.714,1377.518304
SK1141,Ronneby,RNB,Europe,SE,2018-04-20T09:15:00Z,385,98.945,287.1171875
SK6001,Malaga,AGP,Europe,ES,2018-04-20T08:35:00Z,2992,529.584,1536.739286
DY4359,Milan MXP,MXP,Europe,IT,2018-04-20T08:25:00Z,1648,291.696,846.4392857
SK079,Visby,VBY,Europe,SE,2018-04-20T09:35:00Z,189,48.573,140.9484375
SK1014,Skelleftea,SFT,Europe,SE,2018-04-20T09:30:00Z,622,110.094,319.4691964
