flight ID, Destination, Destination_IATA, Continent, Country, Time, Distance, Emissions, TaxCuts
SK2847,Faro,FAO,Europe,IT,2018-04-21T13:05:00Z,2352.0,416.304,1208.0249999999999,
KL1104,Amsterdam,AMS,Europe,NL,2018-04-21T04:30:00Z,1127.0,199.47899999999998,578.8453124999999,
ET714,Oslo,OSL,Europe,NO,2018-04-21T05:40:00Z,417.0,107.169,310.98147321428564,
DY4383,Athens,ATH,Europe,GR,2018-04-21T13:55:00Z,2411.0,426.74699999999996,1238.3283482142856,
B2856,Minsk,MSQ,Europe,BY,2018-04-21T11:40:00Z,838.0,148.326,430.41026785714286,
KL1110,Amsterdam,AMS,Europe,NL,2018-04-21T11:40:00Z,1127.0,199.47899999999998,578.8453124999999,
EK158,Dubai,DXB,Asia,AE,2018-04-21T13:05:00Z,4760.0,842.52,2444.8124999999995,
PS172,Kiev,KBP,Europe,UA,2018-04-21T13:05:00Z,1266.0,224.082,650.2379464285714,
D8205,Helsinki,HEL,Europe,FI,2018-04-21T13:15:00Z,397.0,102.029,296.0662946428571,
SK1583,Malaga,AGP,Europe,ES,2018-04-21T12:50:00Z,2992.0,529.584,1536.7392857142854,
EZY5886,Berlin TXL,TXL,Europe,DE,2018-04-21T13:40:00Z,810.0,143.37,416.0290178571428,
LX1251,Zurich,ZRH,Europe,CH,2018-04-21T13:50:00Z,1471.0,260.36699999999996,755.5292410714284,
SK1809,Palma,PMI,Europe,ES,2018-04-21T13:35:00Z,2453.0,434.181,1259.9002232142855,
IB3315,Madrid,MAD,Europe,ES,2018-04-21T12:45:00Z,2596.0,459.49199999999996,1333.3473214285711,
AT225,Casablanca,CMN,Africa,MA,2018-04-21T14:25:00Z,3436.0,608.1719999999999,1764.784821428571,
SK1845,Malta,MLA,Europe,MT,2018-04-21T14:15:00Z,2618.0,463.38599999999997,1344.646875,
SK1407,Copenhagen,CPH,Europe,DK,2018-04-21T13:25:00Z,523.0,92.571,268.62120535714286,
SK867,Oslo,OSL,Europe,NO,2018-04-21T13:25:00Z,417.0,107.169,310.98147321428564,
LH807,Frankfurt,FRA,Europe,DE,2018-04-21T14:35:00Z,1188.0,210.27599999999998,610.1758928571428,
SK945,Chicago,ORD,America,US,2018-04-21T14:35:00Z,6890.0,1219.53,3538.814732142857,
VY1266,Barcelona,BCN,Europe,ES,2018-04-21T14:20:00Z,2281.0,403.73699999999997,1171.5582589285714,
BA779,London LHR,LHR,Europe,GB,2018-04-21T13:45:00Z,1454.0,257.358,746.7977678571428,
SK109,Malmo,MMX,Europe,SE,2018-04-21T14:50:00Z,513.0,90.801,263.48504464285713,
SK1527,London LHR,LHR,Europe,GB,2018-04-21T14:55:00Z,1454.0,257.358,746.7977678571428,
OS314,Vienna,VIE,Europe,AT,2018-04-21T14:55:00Z,1243.0,220.011,638.4247767857142,
SK673,Frankfurt,FRA,Europe,DE,2018-04-21T15:05:00Z,1188.0,210.27599999999998,610.1758928571428,
DY4363,Palermo,PMO,Europe,IT,2018-04-21T14:10:00Z,2386.0,422.322,1225.4879464285714,
DY4369,Pisa,PSA,Europe,IT,2018-04-21T15:05:00Z,1814.0,321.078,931.6995535714284,
SK2565,Dublin,DUB,Europe,IE,2018-04-21T14:35:00Z,1630.0,288.51,837.1941964285714,
DK1748,Palma,PMI,Europe,ES,2018-04-21T15:05:00Z,2453.0,434.181,1259.9002232142855,
LO458,Warsaw,WAW,Europe,PL,2018-04-21T17:35:00Z,812.0,143.724,417.05625,
KL1116,Amsterdam,AMS,Europe,NL,2018-04-21T15:30:00Z,1127.0,199.47899999999998,578.8453124999999,
BA781,London LHR,LHR,Europe,GB,2018-04-21T16:05:00Z,1454.0,257.358,746.7977678571428,
DY4341,Belgrade,BEG,Europe,RS,2018-04-21T15:30:00Z,1624.0,287.448,834.1125,
DK512,Antalya,AYT,Europe,TR,2018-04-21T15:40:00Z,2660.0,470.82,1366.2187499999998,
TOM3623,Goteborg,GOT,Europe,SE,2018-04-21T13:50:00Z,397.0,102.029,296.0662946428571,
DY4343,Sarajevo,SJJ,Europe,BA,2018-04-21T16:05:00Z,1724.0,305.14799999999997,885.474107142857,
SK722,Helsinki,HEL,Europe,FI,2018-04-21T16:25:00Z,397.0,102.029,296.0662946428571,
SK885,Oslo,OSL,Europe,NO,2018-04-21T15:40:00Z,417.0,107.169,310.98147321428564,
SK085,Visby,VBY,Europe,SE,2018-04-21T16:30:00Z,189.0,48.573,140.94843749999998,
SK020,Lulea,LLA,Europe,SE,2018-04-21T16:35:00Z,727.0,128.679,373.3988839285714,
